Date,District,Address,Transaction Price,Sq Price,Area,Source,Link
2025-11-15,Southern District,"Flat F, Middle, Block 1, Sham Wan Towers","HKD$21,500 ",@$45,483ft²,CENTANET,https://www.28hse.com/en/estate/detail/sham-wan-towers-356/transaction/rent/deal-1471098
2025-11-15,Southern District,"Flat G, Middle, Tower 2","HKD$21,000 ",@$44,482ft²,MIDLAND,https://www.28hse.com/en/estate/detail/sham-wan-towers-356/transaction/rent/deal-1471097
2025-11-15,Sai Wan Ho,"Flat A, High, Le Printemps (tower 1), Les Saisons","HKD$29,500 ",@$53,556ft²,CENTANET,https://www.28hse.com/en/estate/detail/les-saisons-1171/transaction/rent/deal-1471096
2025-11-15,Wong Chuk Hang,"Flat E, High, Tower 2 (2b), Phase 4a La Montagne","HKD$25,000 ",@$52,484ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-southside-27919/transaction/rent/deal-1471092
2025-11-15,Wong Chuk Hang,"Flat F, High, Tower 2 (2a), Phase 4a La Montagne","HKD$31,000 ",@$53,581ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-southside-27919/transaction/rent/deal-1471091
2025-11-15,Wong Chuk Hang,"Flat B, Low, Tower 2 (2b), Phase 4a La Montagne","HKD$38,000 ",@$56,678ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-southside-27919/transaction/rent/deal-1471090
2025-11-15,Taikoo Shing,"Flat E, High, (t-49) Wai Sing Mansion, Sing Fai Terrace","HKD$22,800 ",@$45,502ft²,CENTANET,https://www.28hse.com/en/estate/detail/taikoo-shing-1140/transaction/rent/deal-1471088
2025-11-15,Taikoo Shing,"Flat G, High, Oak Mansion, Harbour View Gardens (west)","HKD$40,000 ",@$39,"1,015ft²",MIDLAND,https://www.28hse.com/en/estate/detail/taikoo-shing-1140/transaction/rent/deal-1471086
2025-11-15,South Horizons,"Flat E, Middle, Yee Moon Court (block 12), Phase 2","HKD$25,000 ",@$39,633ft²,CENTANET,https://www.28hse.com/en/estate/detail/south-horizons-350/transaction/rent/deal-1471085
2025-11-15,South Horizons,"Flat A, High, Block 17, Phase 3","HKD$24,800 ",@$39,633ft²,MIDLAND,https://www.28hse.com/en/estate/detail/south-horizons-350/transaction/rent/deal-1471084
2025-11-15,Quarry Bay,"Flat 3, Low, Block E (flat 1 - 8), Kornhill","HKD$18,000 ",@$34,524ft²,CENTANET,https://www.28hse.com/en/estate/detail/kornhill-1120/transaction/rent/deal-1471083
2025-11-14,Tiu Keng Leng,"Flat H, Low, Block 02, Phase 1","HKD$19,000 ",@$37,515ft²,MIDLAND,https://www.28hse.com/en/estate/detail/ocean-shores-4003/transaction/rent/deal-1472589
2025-11-14,Tung Chung,"Flat C, High, Tower 6, The Visionary",HKD$7.85 Millions,"@$11,716",670ft²,CENTANET,https://www.28hse.com/en/estate/detail/the-visionary-8256/transaction/deal-1472579
2025-11-14,Tsuen Wan,"Flat C, High, Block 6, City Point",HKD$9.55 Millions,"@$13,962",684ft²,CENTANET,https://www.28hse.com/en/estate/detail/city-point-8385/transaction/deal-1472568
2025-11-14,Tsuen Wan,"Flat F, High, Block 8, City Point",HKD$9.22 Millions,"@$13,970",660ft²,CENTANET,https://www.28hse.com/en/estate/detail/city-point-8385/transaction/deal-1472567
2025-11-14,Ma On Shan,"Flat D, 18/F, Block 2",HKD$5.63 Millions,"@$9,912",568ft²,LAND,https://www.28hse.com/en/estate/detail/fok-on-garden-4057/transaction/deal-1471424
2025-11-14,Tuen Mun,"Flat 5, 26/F, Shun Sang House--block A",HKD$2.898 Millions,"@$7,707",376ft²,LAND,https://www.28hse.com/en/estate/detail/siu-hin-court-4478/transaction/deal-1471419
2025-11-14,Fotan,"Flat B, 18/F, Block 2",HKD$7 Millions,"@$11,785",594ft²,LAND,https://www.28hse.com/en/estate/detail/royal-ascot-4128/transaction/deal-1471418
2025-11-14,Fotan,"Flat F, 38/F, Block 9",HKD$12.5 Millions,"@$12,834",974ft²,LAND,https://www.28hse.com/en/estate/detail/royal-ascot-4128/transaction/deal-1471417
2025-11-14,Fotan,"Flat D, High, Block 9, Phase 2",HKD$12.38 Millions,"@$11,915","1,039ft²",CENTANET,https://www.28hse.com/en/estate/detail/royal-ascot-4128/transaction/deal-1471415
2025-11-14,Tseung Kwan O,"Flat F, 39/F, Tower 1",HKD$6.65 Millions,"@$15,501",429ft²,LAND,https://www.28hse.com/en/estate/detail/tseung-kwan-o-plaza-4002/transaction/deal-1471413
2025-11-14,FanLing,"Flat 12, 34/F, Block A",HKD$4.228 Millions,"@$7,962",531ft²,LAND,https://www.28hse.com/en/estate/detail/yung-shing-court-4183/transaction/deal-1471409
2025-11-14,Kwun Tong,"Flat 11, 1/F, Kin Tai House",HKD$1.85 Millions,"@$6,655",278ft²,LAND,https://www.28hse.com/en/estate/detail/kin-tai-house-8313/transaction/deal-1471408
2025-11-14,Lam Tin,"Flat C, 17/F, Block 12",HKD$3.06 Millions,"@$5,862",522ft²,LAND,https://www.28hse.com/en/estate/detail/laguna-city-2000/transaction/deal-1471407
2025-11-14,To Kwa Wan,"Flat R, 6/F, Kiu Yu Mansion",HKD$3.8 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/kiu-yu-mansion-6030/transaction/deal-1471406
2025-11-14,Ho Man Tin,"Flat ST-126, 5/F, Block 5",HKD$13.6 Millions,"@$7,556",,LAND,https://www.28hse.com/en/estate/detail/mandarin-court-2279/transaction/deal-1471405
2025-11-14,Ho Man Tin,"Flat 144F, 2/F, Overseas Court",HKD$8.88 Millions,"@$8,706","1,020ft²",LAND,https://www.28hse.com/en/estate/detail/overseas-court-7759/transaction/deal-1471403
2025-11-14,Jordan,"Flat N, 8/F, New Lucky House",HKD$2.69 Millions,"@$6,725",400ft²,LAND,https://www.28hse.com/en/estate/detail/new-lucky-house-2842/transaction/deal-1471400
2025-11-14,Ho Man Tin,"Flat D, 8/F, Block 3",HKD$3.8 Millions,"@$5,855",649ft²,LAND,https://www.28hse.com/en/estate/detail/balwin-court-2249/transaction/deal-1471399
2025-11-14,Mong Kok,"Flat C, 1/F, Kiu Ming Mansion",HKD$3 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/kiu-ming-mansion-2729/transaction/deal-1471398
2025-11-14,Tai Kok Tsui,"Flat ST-69, 14/F, Hing Wong Mansion",HKD$0.4 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/hing-wong-mansion-5485/transaction/deal-1471397
2025-11-14,Tai Kok Tsui,"1/F, Fortune Court",HKD$3.8 Millions,-,,LAND,https://www.28hse.com/en/estate/detail/fortune-court-22105/transaction/deal-1471396
2025-11-14,Kai Tak,"Flat A, 2/F, Star Waves Block 1",HKD$12.2 Millions,"@$18,429",662ft²,LAND,https://www.28hse.com/en/estate/detail/victoria-skye-22279/transaction/deal-1471395
2025-11-14,Mong Kok,"Flat A, 18/F,  L Living 23",HKD$4.18 Millions,"@$15,145",276ft²,LAND,https://www.28hse.com/en/estate/detail/l-living-23-23674/transaction/deal-1471394
2025-11-14,Lai Chi Kok,"Flat H, 40/F, Block 5",HKD$9.65 Millions,"@$16,412",588ft²,LAND,https://www.28hse.com/en/estate/detail/aquamarine-2380/transaction/deal-1471388
2025-11-18,Ma On Shan,"Flat E, 20/F, Block 4",HKD$2.1 Millions,"@$4,330",,LAND,https://www.28hse.com/en/estate/detail/chevalier-garden-4059/transaction/deal-1472423
2025-11-18,Tsuen Wan Sham Tseng,"Flat F, 61/F, Tower 2",HKD$5.8 Millions,"@$11,027",526ft²,LAND,https://www.28hse.com/en/estate/detail/bellagio-4540/transaction/deal-1472422
2025-11-18,Tsuen Wan Sham Tseng,"Flat E, 58/F, Tower 5",HKD$6.25 Millions,"@$10,851",576ft²,LAND,https://www.28hse.com/en/estate/detail/bellagio-4540/transaction/deal-1472421
2025-11-18,Tsuen Wan,"Flat 4, 5/F, Block A",HKD$6.6 Millions,"@$10,855",608ft²,LAND,https://www.28hse.com/en/estate/detail/town-square-4600/transaction/deal-1472407
